channel,spend_multiplier,current_spend,increased_spend,current_response,increased_response,response_lift,response_lift_pct
affiliate,1.1,10532.201923076924,11585.422115384617,0.4953215508089449,0.49860467735602754,0.0032831265470826265,0.00662827317269099
direct_mail,1.1,18768.477564102563,20645.32532051282,0.34073681805174577,0.35343750730501466,0.012700689253268893,0.037274191048353666
search,1.1,33652.89102564102,37018.18012820513,0.04701595088925916,0.06394929280229458,0.016933341913035423,0.3601616386089909
social,1.1,16700.846153846152,18370.93076923077,0.0439943995119854,0.05627745313934571,0.012283053627360305,0.2791958468262314
