kpi,channel,total_contribution,total_spend,roi
applications,affiliate,-8527.265284468025,2651780,-0.0032156759929059067
applications,direct_mail,80654.94277294703,4754939,0.016962350678514915
applications,search,43510.36383885878,8263998,0.005265050141451968
applications,social,11558.776879142224,4148123,0.002786507747996437
funded_revenue,affiliate,-47128057.02195382,2651780,-17.772234884475267
funded_revenue,direct_mail,41589523.2406151,4754939,8.746594486409837
funded_revenue,search,25120128.10193057,8263998,3.0397064595042944
funded_revenue,social,11100734.443136439,4148123,2.6760861341711513
